Scenario,Description,Dataset,Status,Accuracy,F1_Score,AUPRC,Precision,Recall,Total_Training_Time,Peak_GPU_Memory_MB,GFLOPs_Per_Epoch,Final_Loss,Convergence_Epoch,Peak_CPU_Memory_MB,GPU_Total_Memory_MB,Total_Estimated_GFLOPs,Batch_Size,Epochs,AMC_Instance,AMC_Temporal,AMC_Margin,Min_Tau,Max_Tau,Temp_Method,Accuracy_Per_GFLOPs,Accuracy_Per_Second,Timestamp
Baseline,Standard TS2vec without any enhancements,AtrialFibrillation,success,0.266667,0.266667,0.430807,0.253333,0.272000,12.97,2174.8,0.500,3.251939,-1,100.7,24576.0,100.00,8,200,0.0,0.0,0.5,0.4,0.4,fixed,0.00266667,0.020564,2025-08-29T13:00:38.384497
AMC_Instance,Angular Margin Contrastive for instance discrimination,AtrialFibrillation,success,0.066667,0.066667,0.277597,0.063333,0.068000,14.90,2064.5,0.650,8.199910,-1,100.9,24576.0,130.00,8,200,1.0,0.0,0.5,0.4,0.4,fixed,0.00051282,0.004475,2025-08-29T13:00:53.284238
AMC_Temporal,Angular Margin Contrastive for temporal relationships,AtrialFibrillation,success,0.333333,0.333333,0.426277,0.316667,0.340000,16.88,3852.5,0.700,10.873708,-1,101.0,24576.0,140.00,8,200,0.0,1.0,0.5,0.4,0.4,fixed,0.00238095,0.019747,2025-08-29T13:01:10.167432
Temperature_Linear,Linear temperature scheduling,AtrialFibrillation,success,0.200000,0.200000,0.360800,0.190000,0.204000,12.26,2266.7,0.550,8.620042,-1,101.0,24576.0,110.00,8,200,0.0,0.0,0.5,0.15,0.75,linear,0.00181818,0.016313,2025-08-29T13:01:22.429742
Temperature_Cosine,Cosine annealing temperature scheduling,AtrialFibrillation,success,0.266667,0.266667,0.437499,0.253333,0.272000,12.36,2260.5,0.600,7.445744,-1,101.0,24576.0,120.00,8,200,0.0,0.0,0.5,0.15,0.75,cosine_annealing,0.00222222,0.021568,2025-08-29T13:01:34.796249
Temperature_Exponential,Exponential decay temperature scheduling,AtrialFibrillation,success,0.266667,0.266667,0.390757,0.253333,0.272000,12.16,2252.4,0.580,6.227033,-1,101.0,24576.0,116.00,8,200,0.0,0.0,0.5,0.15,0.75,exponential_decay,0.00229885,0.021936,2025-08-29T13:01:46.955477
AMC_Both,Combined AMC instance and temporal losses,AtrialFibrillation,success,0.333333,0.333333,0.420087,0.316667,0.340000,19.56,3308.4,0.705,12.940349,-1,101.0,24576.0,141.00,8,200,0.7,0.5,0.5,0.4,0.4,fixed,0.00236407,0.017039,2025-08-29T13:02:06.520826
AMC_Temperature_Linear,AMC losses with linear temperature scheduling,AtrialFibrillation,success,0.333333,0.333333,0.429481,0.316667,0.340000,20.51,4172.5,0.800,17.032696,-1,101.0,24576.0,160.00,8,200,1.0,0.5,0.5,0.15,0.75,linear,0.00208333,0.016248,2025-08-29T13:02:27.038131
AMC_Temperature_Cosine,AMC losses with cosine annealing (recommended setup),AtrialFibrillation,success,0.200000,0.200000,0.331436,0.190000,0.204000,21.68,3090.0,0.940,14.689610,-1,101.0,24576.0,188.00,8,200,1.2,0.8,0.4,0.12,0.82,cosine_annealing,0.00106383,0.009226,2025-08-29T13:02:48.718255
AMC_Temperature_Exponential,AMC losses with exponential decay temperature,AtrialFibrillation,success,0.333333,0.333333,0.386233,0.316667,0.340000,19.92,3521.5,0.830,18.750860,-1,101.0,24576.0,166.00,8,200,1.0,0.5,0.5,0.15,0.75,exponential_decay,0.00200803,0.016735,2025-08-29T13:03:08.638631
AMC_Temperature_Polynomial,AMC losses with polynomial decay temperature,AtrialFibrillation,success,0.400000,0.400000,0.377741,0.380000,0.408000,22.39,3407.9,0.750,12.221631,-1,101.0,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,polynomial_decay,0.00266667,0.017868,2025-08-29T13:03:31.027145
AMC_Temperature_Sigmoid,AMC losses with sigmoid decay temperature,AtrialFibrillation,success,0.333333,0.333333,0.412682,0.316667,0.340000,20.60,2936.8,0.750,19.566147,-1,101.0,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,sigmoid_decay,0.00222222,0.016179,2025-08-29T13:03:51.631821
AMC_Temperature_Step,AMC losses with step decay temperature,AtrialFibrillation,success,0.266667,0.266667,0.384881,0.253333,0.272000,20.36,4156.7,0.750,11.240335,-1,101.0,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,step_decay,0.00177778,0.013098,2025-08-29T13:04:11.993378
AMC_Temperature_WarmupCosine,AMC losses with warmup followed by cosine annealing,AtrialFibrillation,success,0.200000,0.200000,0.346201,0.190000,0.204000,21.55,4564.6,0.750,14.809540,-1,101.0,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,warmup_cosine,0.00133333,0.009279,2025-08-29T13:04:33.550731
AMC_Temperature_Constant,AMC losses with constant temperature (baseline AMC),AtrialFibrillation,success,0.400000,0.400000,0.410556,0.380000,0.408000,21.11,3221.2,0.750,10.772435,-1,101.0,24576.0,150.00,8,200,1.0,0.5,0.5,0.4,0.4,constant_temperature,0.00266667,0.018947,2025-08-29T13:04:54.664690
AMC_Temperature_Cyclic,AMC losses with cyclic (sawtooth) temperature scheduling,AtrialFibrillation,success,0.266667,0.266667,0.397608,0.253333,0.272000,21.93,4223.2,0.750,12.054403,-1,101.1,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,cyclic_temperature,0.00177778,0.012159,2025-08-29T13:05:16.609156
AMC_Temperature_AdaptiveCosine,AMC losses with adaptive cosine annealing based on performance,AtrialFibrillation,success,0.266667,0.266667,0.374084,0.253333,0.272000,22.68,3387.9,0.785,24.597675,-1,101.2,24576.0,157.00,8,200,1.1,0.6,0.45,0.12,0.78,adaptive_cosine_annealing,0.00169851,0.011755,2025-08-29T13:05:39.296715
AMC_Temperature_MultiCycleCosine,AMC losses with multi-cycle cosine annealing,AtrialFibrillation,success,0.266667,0.266667,0.349259,0.253333,0.272000,22.12,4567.7,0.750,14.414527,-1,101.2,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,multi_cycle_cosine,0.00177778,0.012058,2025-08-29T13:06:01.414730
AMC_Temperature_CosineRestarts,AMC losses with cosine annealing with warm restarts,AtrialFibrillation,success,0.333333,0.333333,0.422100,0.316667,0.340000,21.16,3707.2,0.750,9.626534,-1,101.2,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,cosine_with_restarts,0.00222222,0.015753,2025-08-29T13:06:22.576998
AMC_HighImpact_Cosine,High-impact AMC configuration with cosine annealing,AtrialFibrillation,success,0.200000,0.200000,0.414805,0.190000,0.204000,20.92,3875.6,1.025,22.118017,-1,101.2,24576.0,205.00,8,200,1.5,1.0,0.3,0.1,0.8,cosine_annealing,0.00097561,0.009559,2025-08-29T13:06:43.502722
AMC_Balanced_MultiCycle,Balanced AMC with multi-cycle cosine for extended training,AtrialFibrillation,success,0.266667,0.266667,0.363443,0.253333,0.272000,20.08,2809.4,0.740,18.190588,-1,101.2,24576.0,148.00,8,200,0.8,0.6,0.4,0.2,0.7,multi_cycle_cosine,0.00180180,0.013279,2025-08-29T13:07:03.586819
AMC_Conservative_Warmup,Conservative AMC with warmup cosine for stable training,AtrialFibrillation,success,0.266667,0.266667,0.355698,0.253333,0.272000,21.26,3497.4,0.685,12.340700,-1,101.2,24576.0,137.00,8,200,0.7,0.4,0.6,0.25,0.65,warmup_cosine,0.00194647,0.012541,2025-08-29T13:07:24.853344
AMC_Temperature_MomentumAdaptive,AMC with novel momentum-based adaptive temperature scheduling,AtrialFibrillation,success,0.333333,0.333333,0.383505,0.316667,0.340000,21.89,2963.8,0.750,17.486715,-1,101.2,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,momentum_adaptive,0.00222222,0.015225,2025-08-29T13:07:46.750163
AMC_Temperature_Triangular,AMC with triangular wave temperature scheduling (CLR-inspired),AtrialFibrillation,success,0.400000,0.400000,0.412625,0.380000,0.408000,21.79,3126.7,0.750,18.141703,-1,101.2,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,triangular,0.00266667,0.018356,2025-08-29T13:08:08.543560
AMC_Temperature_OneCycle,AMC with OneCycle temperature scheduling for superconvergence,AtrialFibrillation,success,0.266667,0.266667,0.318982,0.253333,0.272000,21.14,3552.2,0.750,19.842697,-1,101.2,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,onecycle,0.00177778,0.012614,2025-08-29T13:08:29.686131
AMC_Temperature_HyperbolicTangent,AMC with hyperbolic tangent smooth S-curve temperature scheduling,AtrialFibrillation,success,0.200000,0.200000,0.382846,0.190000,0.204000,21.12,4068.9,0.750,23.725353,-1,101.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,hyperbolic_tangent,0.00133333,0.009469,2025-08-29T13:08:50.809667
AMC_Temperature_Logarithmic,AMC with logarithmic decay for gentle long-tail reduction,AtrialFibrillation,success,0.266667,0.266667,0.383694,0.253333,0.272000,20.29,4546.8,0.750,15.740474,-1,101.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,logarithmic,0.00177778,0.013143,2025-08-29T13:09:11.102192
AMC_Temperature_PiecewisePlateau,AMC with piecewise linear segments and stability plateaus,AtrialFibrillation,success,0.400000,0.400000,0.439481,0.380000,0.408000,21.63,3385.8,0.750,14.192348,-1,101.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,piecewise_linear_plateau,0.00266667,0.018493,2025-08-29T13:09:32.734988
AMC_Temperature_InverseTimeDecay,AMC with inverse time decay (proven convergence properties),AtrialFibrillation,success,0.333333,0.333333,0.399536,0.316667,0.340000,20.74,3197.5,0.750,19.357325,-1,101.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,inverse_time_decay,0.00222222,0.016075,2025-08-29T13:09:53.472906
AMC_Temperature_DoubleExponential,AMC with double exponential (bi-phase: rapid then slow decay),AtrialFibrillation,success,0.333333,0.333333,0.428608,0.316667,0.340000,21.71,4216.2,0.750,13.043625,-1,101.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,double_exponential,0.00222222,0.015354,2025-08-29T13:10:15.185272
AMC_Temperature_NoisyCosine,AMC with noisy cosine annealing (exploration with decaying noise),AtrialFibrillation,success,0.266667,0.266667,0.381587,0.253333,0.272000,20.89,3477.5,0.750,11.737924,-1,101.4,24576.0,150.00,8,200,1.0,0.5,0.5,0.15,0.75,noisy_cosine,0.00177778,0.012762,2025-08-29T13:10:36.082680
AMC_Efficient_OneCycle,Efficiency-optimized AMC with OneCycle for fast convergence,AtrialFibrillation,success,0.266667,0.266667,0.387807,0.253333,0.272000,20.99,3027.5,0.700,12.667305,-1,101.4,24576.0,140.00,8,200,0.8,0.4,0.4,0.12,0.68,onecycle,0.00190476,0.012707,2025-08-29T13:10:57.070787
AMC_Balanced_Triangular,Balanced AMC with triangular exploration cycles,AtrialFibrillation,success,0.266667,0.266667,0.345671,0.253333,0.272000,21.48,3629.4,0.755,10.823034,-1,101.4,24576.0,151.00,8,200,0.9,0.6,0.45,0.18,0.72,triangular,0.00176600,0.012417,2025-08-29T13:11:18.549373
AMC_HighPerf_InverseTime,High-performance AMC with mathematically proven inverse time decay,AtrialFibrillation,success,0.333333,0.333333,0.401640,0.316667,0.340000,20.77,3479.4,0.805,28.263708,-1,101.4,24576.0,161.00,8,200,1.1,0.7,0.35,0.1,0.8,inverse_time_decay,0.00207039,0.016050,2025-08-29T13:11:39.320783
