model_name,dataset,optimizer_type,accuracy,f1_score,training_time,epochs_completed,gpu_memory_mb,flops,source_file,hyperparameters,status,auprc,training_time_per_epoch,auroc,precision,recall,gpu_temp_max,gpu_temp_avg,rank
TimesURL,Chinatown,,0.9854227405247813,0.0,26.773744583129883,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_215308/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'temp': 1.0, 'lmd': 0.01, 'segment_num': 3, 'mask_ratio_per_seg': 0.05, 'use_sgd': False, 'load_tp': False}",master_benchmark,0.9977636627397113,23.452904,0.0,0.0,0.0,,,1
TimeHUT_Optimized,Chinatown,sigmoid_decay,0.9854227405247813,0.9854227405247813,89.10837817192078,200,0.0,0.0,/home/amin/TSlib/results/timehut/optimization/individual_optimization_sigmoid.json,"{'min_tau': 0.07952008314342242, 'max_tau': 0.8359093601633845, 't_max': 30.361319499757627, 'steepness': 2.186567887667109}",complete_optimization,,,,,,,,1
TimeHUT_Optimized,Chinatown,linear_decay,0.9825072886297376,0.9825072886297376,86.41527724266052,200,0.0,0.0,/home/amin/TSlib/results/timehut/optimization/individual_optimization_linear.json,"{'min_tau': 0.12238565554548035, 'max_tau': 0.8665581169109351, 't_max': 27.97045281815346}",complete_optimization,,,,,,,,2
TimeHUT_Optimized,Chinatown,exponential_decay,0.9825072886297376,0.9825072886297376,86.62344789505005,200,0.0,0.0,/home/amin/TSlib/results/timehut/optimization/individual_optimization_exponential.json,"{'min_tau': 0.06022940649953554, 'max_tau': 0.7724142772994764, 't_max': 26.47073068952962, 'decay_rate': 0.9683632629991449}",complete_optimization,,,,,,,,2
TimeHUT_Optimized,Chinatown,step_decay,0.9825072886297376,0.9825072886297376,85.6207275390625,200,0.0,0.0,/home/amin/TSlib/results/timehut/optimization/individual_optimization_step.json,"{'min_tau': 0.17681674472166548, 'max_tau': 0.6834521157323913, 't_max': 21.81393969605047, 'step_size': 3, 'gamma': 0.6594290595510863}",complete_optimization,,,,,,,,2
TimeHUT_Optimized,Chinatown,polynomial_decay,0.9825072886297376,0.9825072886297376,85.09354305267334,200,0.0,0.0,/home/amin/TSlib/results/timehut/optimization/individual_optimization_polynomial.json,"{'min_tau': 0.1267227267504714, 'max_tau': 0.8569073423192293, 't_max': 16.140337422911244, 'power': 2.9043698506036475}",complete_optimization,,,,,,,,2
TimeHUT_Optimized,Chinatown,cosine_annealing,0.9825072886297376,0.9825072886297376,85.25675368309021,200,0.0,0.0,/home/amin/TSlib/results/timehut/optimization/individual_optimization_cosine.json,"{'min_tau': 0.1332127252495836, 'max_tau': 0.6789823833346273, 't_max': 18.887211448719945}",complete_optimization,,,,,,,,2
SoftCLT,Chinatown,,0.9795918367346939,0.0,6.882723569869995,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_214325/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'dist_type': 'DTW'}",master_benchmark,0.9981014686841378,4.319688,0.0,0.0,0.0,,,3
SoftCLT,Chinatown,,0.9795918367346939,0.0,6.502054214477539,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_224509/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'dist_type': 'DTW'}",master_benchmark,0.9981014686841378,4.195928,0.0,0.0,0.0,,,3
SoftCLT,Chinatown,,0.9795918367346939,0.0,6.474938869476318,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213333/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'dist_type': 'DTW'}",master_benchmark,0.9981014686841378,4.187113,0.0,0.0,0.0,,,3
TimeHUT,Chinatown,,0.9737609329446064,0.0,8.432010412216187,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213333/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'repr_dims': 320, 'n_iters': 200, 'seed': 42}",master_benchmark,0.9968875845719534,0.0,0.9968875845719534,0.0,0.0,,,4
TimeHUT,Chinatown,,0.9737609329446064,0.0,8.311269760131836,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_214307/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'repr_dims': 320, 'n_iters': 200, 'seed': 42}",master_benchmark,0.9968848179982126,0.0,0.9968848179982126,0.0,0.0,,,4
TimeHUT,Chinatown,,0.9737609329446064,0.0,8.215104341506958,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_224509/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'repr_dims': 320, 'n_iters': 200, 'seed': 42}",master_benchmark,0.9967483687288399,0.0,0.9967483687288399,0.0,0.0,,,4
TimeHUT,Chinatown,,0.9737609329446064,0.0,8.197800636291504,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_221243/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'repr_dims': 320, 'n_iters': 200, 'seed': 42}",master_benchmark,0.9968804705061054,0.0,0.9968804705061054,0.0,0.0,,,4
TS2vec,Chinatown,,0.9708454810495627,0.0,5.977186679840088,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_223332/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,3.894832,0.0,0.0,0.0,,,5
TS2vec,Chinatown,,0.9708454810495627,0.0,6.229165315628052,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_221243/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,4.116919,0.0,0.0,0.0,,,5
TS2vec,Chinatown,,0.9708454810495627,0.0,6.067048788070679,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250824_224509/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,3.972659,0.0,0.0,0.0,,,5
TS2vec,Chinatown,,0.9708454810495627,0.0,6.29841160774231,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213333/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,4.114371,0.0,0.0,0.0,,,5
TS2vec,Chinatown,,0.9708454810495627,0.0,6.158459663391113,200,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_214253/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9960167712606068,4.053501,0.0,0.0,0.0,,,5
CoST,Chinatown,,0.9504,0.9409,18.102739572525024,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_222759/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'CoST', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.0,0.0,0.0,0.0,0.0,,,6
CoST,Chinatown,,0.9504,0.9409,11.410925149917603,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_222130/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'CoST', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.989,0.0,0.9937,0.9234,0.9659,,,6
CPC,Chinatown,,0.9096,0.896,8.067817449569702,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_221845/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'CPC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.968,0.0,0.9903,0.876,0.9378,,,7
TS_TCC,Chinatown,,0.898,0.8837,3.5273571014404297,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_220551/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': None, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None}",master_benchmark,0.9896,0.0,0.9935,0.8643,0.9297,,,8
TLoss,Chinatown,,0.8251,0.8085,161.45502042770386,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_220930/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TLoss', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.9129,0.0,0.9418,0.7997,0.8696,,,9
TNC,Chinatown,,0.4548,0.4487,26.585302114486694,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_215432/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.4933,0.0,0.4917,0.5101,0.5119,,,10
TNC,Chinatown,,0.4198,0.4126,26.646965265274048,0,0.0,0.0,/home/amin/TSlib/results/master_benchmark_20250825_213333/benchmark_report.json,"{'batch_size': 8, 'learning_rate': 0.001, 'epochs': 200, 'seed': 42, 'max_threads': 8, 'gpu': 0, 'device': 'cpu', 'max_train_length': 1000, 'irregular_ratio': 0.0, 'eval_protocol': 'svm', 'repr_dims': 320, 'hidden_dims': 64, 'depth': 10, 'temporal_unit': 0, 'n_iters': 200, 'save_every': None, 'mf_clr_path': '/home/amin/MF-CLR', 'algorithm': 'TNC', 'temperature': 0.2, 'projection_dim': 128, 'augmentation_strategy': 'jittering', 'available_algorithms': ['TS2Vec', 'TNC', 'TFC', 'TS_TCC', 'CosT', 'TLoss', 'contrastive_predictive_coding', 'TCN', 'informer', 'DeepAR']}",master_benchmark,0.518,0.0,0.4965,0.4703,0.4646,,,11
